Logger Number,Shelter Number,Lizard Number,Date In,Time In,Date Out,Time out,Logger Depth,UTM East,UTM North,EPE(m),Roof,Floor,Azimuth,Width,Height,Depth,Shelter Type,Treatment,Month
-7649,B90,C-3/13,7/6/20,7:09,7/9/20,9:40,108,641113,4002687,3,5,4.5,124,24,12,110,SC,Actual,July
7810,B90,C-3/13,7/6/20,7:26,7/9/20,9:41,61,641117,4002680,3,5,4,164,56,11,61,RS,Random,July
-7806,B90,C-3/13,7/6/20,7:20,7/9/20,9:40,95,641119,4002675,3,5,4.5,127,32,14,95,SC,Potential,July
-7805,B92,C-13/15,7/3/20,8:50,7/7/20,9:54,133,642260,4002920,3,5,1.5,132,47,17,133,TB,Actual,June
-7653,B92,C-13/15,7/3/20,9:05,7/7/20,9:55,55,642270,4002916,3,5,3.5,179,36,18,55,RS,Random,June
-3418,B92,C-13/15,7/3/20,8:12,7/7/20,9:03,115,642641,4004893,3,5,1.5,110,60,15,115,TB,Potential,June
-7807,B98,C-31,7/8/20,9:49,7/13/20,8:49,65,642365,4002964,3,5,2,180,24,10,77,RS,Actual,June
-7811,B98,C-31,7/8/20,9:57,7/13/20,8:52,61,642365,4002964,3,5,3.5,252,58,17,61,LC,Random,June
-7809,B98,C-31,7/8/20,8:00,7/13/20,9:00,65,642449,4002906,3,5,2,194,22,8,77,RS,Potential,June
-7652,J01,C-25,4/12/20,10:56,4/15/20,13:17,19,643344,4003170,4,5,2.5,170,7.5,7.5,22,SC,Random,April
-7649,J01,C-25,4/12/20,10:45,4/15/20,13:15,58,643329,4003169,3,5,2.5,193,38,10,75,SC,Actual,April
-7651,J01,C-25,4/12/20,11:54,4/15/20,13:42,49,643468,4003103,3,5,2.5,180,34,9,55,SC,Potential,April
-7651,J03,C-9,4/22/20,15:09,4/26/20,13:40,43,641622,4003090,3,5,3.5,205,27,9,54,RS,Random,April
-7809,J03,C-9,4/23/20,12:22,4/26/20,13:07,37,641640,4003084,3,5,1.5,141,15,18,55,RS,Actual,April
